Date : 2026-06-11 13:40:04
Directory : c:\Programowanie\inzFrontend\english-teaching-app-frontend
Total : 417 files,  56291 codes, 119 comments, 3926 blanks, all 60336 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\README.md                                                                              | Markdown           |         38 |          0 |         27 |         65 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\angular.json                                                                           | JSON               |        106 |          0 |          0 |        106 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\docs\errors.md                                                                         | Markdown           |         30 |          0 |         11 |         41 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\docs\update.md                                                                         | Markdown           |         54 |          0 |         28 |         82 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\eslint.config.js                                                                       | JavaScript         |         89 |          0 |          1 |         90 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\package-lock.json                                                                      | JSON               |     16,781 |          0 |          1 |     16,782 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\package.json                                                                           | JSON               |         51 |          0 |          1 |         52 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\proxy.conf.json                                                                        | JSON               |          8 |          0 |          0 |          8 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\admin-tools\announcements\announcements.component.html                         | HTML               |        202 |          0 |         17 |        219 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\admin-tools\announcements\announcements.component.scss                         | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\admin-tools\announcements\announcements.component.spec.ts                      | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\admin-tools\announcements\announcements.component.ts                           | TypeScript         |        143 |          0 |         19 |        162 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\admin-tools\messages\messages.component.html                                   | HTML               |        150 |          0 |         29 |        179 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\admin-tools\messages\messages.component.scss                                   | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\admin-tools\messages\messages.component.spec.ts                                | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\admin-tools\messages\messages.component.ts                                     | TypeScript         |         93 |          0 |         13 |        106 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\app.component.html                                                             | HTML               |          1 |          0 |          0 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\app.component.scss                                                             | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\app.component.spec.ts                                                          | TypeScript         |         25 |          0 |          5 |         30 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\app.component.ts                                                               | TypeScript         |         11 |          0 |          2 |         13 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\app.module.ts                                                                  | TypeScript         |         85 |          2 |          8 |         95 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\app.routes.ts                                                                  | TypeScript         |        157 |          0 |          6 |        163 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\access\access.component.html                                              | HTML               |         20 |          0 |          1 |         21 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\access\access.component.scss                                              | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\access\access.component.spec.ts                                           | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\access\access.component.ts                                                | TypeScript         |         13 |          0 |          3 |         16 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\auth.routes.ts                                                            | TypeScript         |         16 |          0 |          2 |         18 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\login\login.component.html                                                | HTML               |         45 |          0 |          4 |         49 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\login\login.component.scss                                                | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\login\login.component.spec.ts                                             | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\login\login.component.ts                                                  | TypeScript         |         50 |          1 |          4 |         55 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\register\register.component.html                                          | HTML               |         31 |          0 |          1 |         32 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\register\register.component.scss                                          | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\register\register.component.spec.ts                                       | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\register\register.component.ts                                            | TypeScript         |         48 |          0 |          4 |         52 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\reset-password\reset-password.component.html                              | HTML               |         15 |          0 |          1 |         16 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\reset-password\reset-password.component.scss                              | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\reset-password\reset-password.component.spec.ts                           | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\reset-password\reset-password.component.ts                                | TypeScript         |         49 |          0 |          5 |         54 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\verify-email\verify-email.component.html                                  | HTML               |          6 |          0 |          1 |          7 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\verify-email\verify-email.component.scss                                  | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\verify-email\verify-email.component.spec.ts                               | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\verify-email\verify-email.component.ts                                    | TypeScript         |         37 |          0 |          3 |         40 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\content\active-students-reports\active-students-reports.component.html         | HTML               |         79 |          0 |         10 |         89 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\content\active-students-reports\active-students-reports.component.scss         | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\content\active-students-reports\active-students-reports.component.spec.ts      | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\content\active-students-reports\active-students-reports.component.ts           | TypeScript         |         74 |          0 |         12 |         86 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\content\catalogues\catalogues.component.html                                   | HTML               |        196 |          2 |         15 |        213 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\content\catalogues\catalogues.component.scss                                   | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\content\catalogues\catalogues.component.spec.ts                                | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\content\catalogues\catalogues.component.ts                                     | TypeScript         |        178 |          0 |         24 |        202 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\content\check-essays\check-essays.component.html                               | HTML               |        135 |         12 |         19 |        166 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\content\check-essays\check-essays.component.scss                               | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\content\check-essays\check-essays.component.spec.ts                            | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\content\check-essays\check-essays.component.ts                                 | TypeScript         |        119 |          0 |         13 |        132 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\course-files\course-adding\course-adding.component.html             | HTML               |         28 |          0 |          5 |         33 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\course-files\course-adding\course-adding.component.scss             | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\course-files\course-adding\course-adding.component.spec.ts          | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\course-files\course-adding\course-adding.component.ts               | TypeScript         |         46 |          0 |          6 |         52 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\course-files\course-edit\course-edit.component.html                 | HTML               |         44 |          0 |          8 |         52 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\course-files\course-edit\course-edit.component.scss                 | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\course-files\course-edit\course-edit.component.spec.ts              | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\course-files\course-edit\course-edit.component.ts                   | TypeScript         |        103 |          0 |         13 |        116 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\course-files\course\course.component.html                           | HTML               |        161 |          2 |          6 |        169 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\course-files\course\course.component.scss                           | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\course-files\course\course.component.spec.ts                        | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\course-files\course\course.component.ts                             | TypeScript         |         92 |          0 |          8 |        100 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\matrix-files\matrix-adding\matrix-adding.component.html             | HTML               |         44 |          0 |          8 |         52 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\matrix-files\matrix-adding\matrix-adding.component.scss             | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\matrix-files\matrix-adding\matrix-adding.component.spec.ts          | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\matrix-files\matrix-adding\matrix-adding.component.ts               | TypeScript         |         80 |          0 |          8 |         88 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\matrix-files\matrix-edit\matrix-edit.component.html                 | HTML               |         69 |          2 |         15 |         86 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\matrix-files\matrix-edit\matrix-edit.component.scss                 | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\matrix-files\matrix-edit\matrix-edit.component.spec.ts              | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\matrix-files\matrix-edit\matrix-edit.component.ts                   | TypeScript         |        127 |          0 |         14 |        141 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\matrix-files\matrix\matrix.component.html                           | HTML               |        176 |          5 |         17 |        198 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\matrix-files\matrix\matrix.component.scss                           | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\matrix-files\matrix\matrix.component.spec.ts                        | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\matrix-files\matrix\matrix.component.ts                             | TypeScript         |         87 |          0 |          9 |         96 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\matrix-files\plan-matrix\plan-matrix.component.html                 | HTML               |        178 |          4 |         17 |        199 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\matrix-files\plan-matrix\plan-matrix.component.scss                 | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\matrix-files\plan-matrix\plan-matrix.component.spec.ts              | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\matrix-files\plan-matrix\plan-matrix.component.ts                   | TypeScript         |        161 |          0 |         22 |        183 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\module-files\module-adding\module-adding.component.html             | HTML               |         84 |          8 |         12 |        104 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\module-files\module-adding\module-adding.component.scss             | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\module-files\module-adding\module-adding.component.spec.ts          | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\module-files\module-adding\module-adding.component.ts               | TypeScript         |        124 |          1 |         16 |        141 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\module-files\module-edit\module-edit.component.html                 | HTML               |        142 |          3 |         23 |        168 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\module-files\module-edit\module-edit.component.scss                 | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\module-files\module-edit\module-edit.component.spec.ts              | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\module-files\module-edit\module-edit.component.ts                   | TypeScript         |        184 |          0 |         20 |        204 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\module-files\module\module.component.html                           | HTML               |        140 |          0 |         11 |        151 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\module-files\module\module.component.scss                           | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\module-files\module\module.component.spec.ts                        | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\module-files\module\module.component.ts                             | TypeScript         |         77 |          0 |          8 |         85 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\module-files\plan-module\plan-module.component.html                 | HTML               |        160 |          0 |         21 |        181 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\module-files\plan-module\plan-module.component.scss                 | SCSS               |          0 |          0 |          1 |          1 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\module-files\plan-module\plan-module.component.spec.ts              | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\module-files\plan-module\plan-module.component.ts                   | TypeScript         |        173 |          0 |         25 |        198 |
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\program-files\program-adding\program-adding.component.html          | HTML               |         68 |          0 |          5 |         73 |
